Latitude,Longitude,Site,Location,Country,Period,Lab Number,C14Age,C14SD,Material,Curve
59.35,-2.92,Knap of Howar,Europe,Great Britain,Neolithic,SRR-347,5706,85,animal bone,intcal13
51.17,-1.81,Coneybury Henge,Europe,Great Britain,Neolithic,OxA-1402,5050,100,animal bone,intcal13
51.66,-1.31,Drayton,Europe,Great Britain,Neolithic,HAR-6477,4990,100,animal bone,intcal13
58.53,-3.6,Loch Calder  Tulloch o,Europe,Great Britain,Neolithic,GU-1332,4965,60,animal bone,intcal13
50.92,-1.88,Windmill Hill,Europe,Great Britain,Early Neolithic,OxA-2406,4870,70,animal bone,intcal13
51.83,-2.15,Peak Camp,Europe,Great Britain,Neolithic,OxA-1622,4865,80,animal bone,intcal13
50.93,-2,Dorset Cursus (Down Fa,Europe,Great Britain,Neolithic,OxA-626,4770,120,animal bone,intcal13
51.12,-1.29,Burntwood Farm (Site R,Europe,Great Britain,Neolithic,OxA-1384,4750,140,animal bone,intcal13
51.21,-1.86,Robin Hood's Ball,Europe,Great Britain,Neolithic,OxA-1400,4740,100,animal bone,intcal13
50.92,-0.58,Bury Hill,Europe,Great Britain,Neolithic,HAR-3596,4680,80,animal bone,intcal13
51.2,-1.85,Winterbourne stoke,Europe,Great Britain,Neolithic,OxA-1405,4640,100,animal bone,intcal13
51.18,-1.81,King Barrow Ridge,Europe,Great Britain,Neolithic,OxA-1397,4500,120,animal bone,intcal13
38.5167,23.9833,Tharrounia,Europe,Greece,Neolithic,DEM-171-137,6246,49,Anthrakas,intcal13
50.86,-0.44,Blackpatch,Europe,Great Britain,Neolithic,BM-290,5090,130,antler,intcal13
54.12,-0.24,"Grindale, Barrow 1",Europe,Great Britain,Neolithic,HAR-269,4910,120,antler,intcal13
51.08,-1.32,Winnall Down,Europe,Great Britain,Neolithic,HAR-2196,4800,80,antler,intcal13
51.22,-1.85,Netheravon Bake,Europe,Great Britain,Neolithic,OxA-1407,4760,90,antler,intcal13
51.39,-1.91,Easton Down,Europe,Great Britain,Early Neolithic,OxA-3760,4730,65,antler,intcal13
51.37,-1.82,Knap Hill,Europe,Great Britain,Neolithic,BM-205,4710,115,antler,intcal13
51.16,-1.83,"Normanton Down, Amesbu",Europe,Great Britain,Neolithic,BM-505,4510,103,antler protei,intcal13
31.7833,35.15,Hatoula,Near East,Israel,PPNA,GifA-91139,10170,120,bone,intcal13
45.7867,13.0847,Piancada,Europe,Italy,Early Neolithic,OZB-653,8115,92,bone,intcal13
32.5,35.5833,Tabaqat al-Buma,Near East,Jordan,Pottery Neolithic,TO-1407,7800,70,bone,intcal13
37.6167,30.15,Kurucay Höyük,Anatolia,Turkey,Pottery Neolithic,HD-12915,7310,70,bone,intcal13
44.18,18.1,Obre,Europe,Bosnia-Herzegovina,Star?evo,UCLA-1605.I,7240,60,bone,intcal13
45.66,18.98,Apatin,Europe,Yugoslavia,Star?evo,GrN-15973,7130,60,bone,intcal13
47.46,6.7,Bavans,Europe,France,Late LBK,Lv-1415,7130,70,bone,intcal13
45.78,3.08,Pontcharaud,Europe,France,Epicardial,Ly-7625,7095,50,bone,intcal13
44.68,1.71,Le Singlier,Europe,France,Roucadourian,Ly-33,6915,70,bone,intcal13
31.7167,34.6333,Nizzanim,Near East,Israel,Pottery Neolithic,Hv-8509,6740,90,bone,intcal13
48.33,3.06,Terres de Prepoux,Europe,France,LBK,Ly-4503,6730,110,bone,intcal13
41.4598,15.5428,Masseria Candelaro,Europe,Italy,Early Neolithic,OxA-3684,6640,95,bone,intcal13
52.06,20.08,Nieborowa,Europe,Poland,LBK,KN-2514,6550,65,Bone,intcal13
50.65,5.2,Omal,Europe,Belgium,LBK,Hv-9285,6505,105,Bone,intcal13
48.06,7.3,Ricoh,Europe,France,Early LBK,Ly-4582,6400,70,bone,intcal13
44.35,4.46,Saint Marcel d'Ardeche,Europe,France,Middle Cardial/Impres,MC-2376,6330,90,bone,intcal13
45.95,5.33,GROTTE DU GARDON,Europe,France,Early Neolithic,Ly-8422,6325,40,bone,intcal13
48.13,3.36,Armeau,Europe,France,LBK,GrN-6781,6260,65,bone,intcal13
50.7167,16.85,Niemcza,Europe,Poland,LBK,Bln-1319,6210,80,Bone,intcal13
53.85,18.1,Strachów 2,Europe,Poland,LBK,Bln-1790B,6205,102,Bone,intcal13
49.01,4.26,Les Grands Traquiers,Europe,France,LBK,Ly-4453,6200,140,bone,intcal13
51.48,11.51,Eilsleben,Europe,Germany,Early LBK,OxA-1627,6190,90,bone,intcal13
50.3667,17.8667,Nowy Browiniec,Europe,Poland,LBK,Bln-?,6185,55,Bone,intcal13
52.6,18.9,Brzesc Kujawski,Europe,Poland,LBK,GrN-9255,6180,35,Bone,intcal13
44.4,3.16,Balloy les Reaudins,Europe,France,Late LBK,Ly-12,6180,90,bone,intcal13
51.7,19.18,Skoroszowice,Europe,Poland,LBK,Bln-1960,6125,50,Bone,intcal13
49.41,4.01,Derriere le Village,Europe,France,Late LBK,Ly-2324,6110,140,bone,intcal13
48.08,7.33,Route de Rouffach,Europe,France,Early LBK,Ly-3811,6100,120,bone,intcal13
48.5,20.4833,"Kecovo, Domica-Höhle",Europe,Solvakia,LBK,GrN-2435,6080,75,Bone,intcal13
49.4,2.8,Le Coq Galleux,Europe,France,LBK,Ly-2716,6080,110,bone,intcal13
48.1,3.26,Passy,Europe,France,LBK,Ly-8823,6065,55,bone,intcal13
50.92,16.8,Stary Zamek,Europe,Poland,Stichbandkeramik,Bln-1737,6030,50,Bone,intcal13
49.4,4.88,La Croix Maigret,Europe,France,LBK,Ly-2327,6030,130,bone,intcal13
48.66,4.55,Norrois,Europe,France,Early Neolithic,Ly-3891,6020,110,bone,intcal13
45.68,5.35,Alfort,Europe,France,Early Neolithic,Ly-386,6000,60,bone,intcal13
45.2,5.63,La Grande Rivoire,Europe,France,Epicardial,Ly-176,6000,70,bone,intcal13
49.38,3.75,Les Fontinettes,Europe,France,Late LBK,Ly-2331,6000,120,bone,intcal13
